pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Która z poniższych zasad należy do zasad prowadzenia gospodarki leśnej z art. 8?,Powszechna ochrona lasów,Prywatyzacja zasobów leśnych,Maksymalizacja pozyskania drewna,Pierwszeństwo funkcji przemysłowej,1,Art. 8 wymienia powszechną ochronę lasów jako jedną z podstawowych zasad gospodarki leśnej.
Która zasada z art. 8 dotyczy zachowania lasów w czasie?,Swoboda zabudowy leśnej,Trwałość utrzymania lasów,Pierwszeństwo sprzedaży drewna,Minimalizacja powierzchni leśnej,2,Art. 8 wskazuje trwałość utrzymania lasów jako zasadę gospodarki leśnej.
Kto jest obowiązany wykonywać zabiegi profilaktyczne i ochronne zapobiegające pożarom lasów?,Wyłącznie Państwowa Straż Pożarna,Wyłącznie starosta,Właściciele lasów,Wyłącznie nadleśniczy w każdym lesie,3,Art. 9 nakłada obowiązki powszechnej ochrony lasów na ich właścicieli.
"Kto w lasach niepaństwowych określa w drodze decyzji zadania właściciela, gdy nie wykonuje on obowiązków powszechnej ochrony lasów?",Wójt,Dyrektor Generalny Lasów Państwowych,Wojewoda,Starosta,4,Art. 9 ust. 2 przewiduje decyzję starosty.
Kto zarządza wykonanie zabiegów zwalczających i ochronnych w lasach niepaństwowych zagrożonych organizmami szkodliwymi?,Starosta,Nadleśniczy bez udziału starosty,Wójt,Regionalny dyrektor ochrony środowiska,1,"Art. 10 ust. 1 pkt 2 powierza to staroście, z urzędu lub na wniosek nadleśniczego."
"Kto jest obowiązany naprawić szkodę w lasach, jeżeli jest za nią odpowiedzialny?",Zawsze Skarb Państwa.,Odpowiedzialna jednostka organizacyjna albo osoba fizyczna lub prawna.,Zawsze właściciel lasu.,Zawsze gmina.,2,Art. 11 przewiduje naprawienie szkody przez podmiot odpowiedzialny według zasad Kodeksu cywilnego.
"Z jakiego źródła mogą być finansowane koszty odnowienia lub przebudowy drzewostanu, gdy sprawcy określonej szkody nie można ustalić?",Wyłącznie z budżetu gminy,Wyłącznie z funduszu sołeckiego,Z budżetu państwa,Wyłącznie ze składek właścicieli lasów,3,Art. 12 przewiduje w określonych przypadkach finansowanie tych kosztów z budżetu państwa.
W jakim okresie właściciel lasu powinien ponownie wprowadzić roślinność leśną po usunięciu drzewostanu?,Do 2 lat,Do 10 lat,Do 15 lat,Do 5 lat,4,Art. 13 ust. 1 pkt 2 przewiduje okres do 5 lat.
Kiedy dopuszczalna jest zmiana lasu na użytek rolny?,W przypadkach szczególnie uzasadnionych potrzeb właścicieli lasów.,Zawsze na żądanie właściciela.,Wyłącznie dla lasów Skarbu Państwa.,Nigdy.,1,Art. 13 ust. 2 dopuszcza zmianę lasu na użytek rolny tylko w szczególnie uzasadnionych przypadkach.
Kto wydaje decyzję w sprawie zmiany lasu Skarbu Państwa na użytek rolny?,Starosta,"Dyrektor regionalnej dyrekcji Lasów Państwowych, na wniosek nadleśniczego.",Wójt,Minister właściwy do spraw rolnictwa,2,Art. 13 ust. 3 pkt 1 wskazuje dyrektora regionalnej dyrekcji Lasów Państwowych.
Kto wydaje decyzję w sprawie zmiany lasu niepaństwowego na użytek rolny?,Dyrektor Generalny Lasów Państwowych,Wójt,"Starosta, na wniosek właściciela lasu.",Regionalny dyrektor ochrony środowiska,3,Art. 13 ust. 3 pkt 2 wskazuje starostę.
Jakie zadanie Lasy Państwowe realizują bez względu na formę własności lasów?,Sprzedaż drewna z każdego lasu prywatnego.,Zarządzanie wszystkimi lasami prywatnymi.,Ustalanie podatku leśnego dla wszystkich właścicieli.,Sporządzanie wielkoobszarowych inwentaryzacji stanu lasów i prowadzenie banku danych o zasobach leśnych i stanie lasów.,4,Art. 13a ust. 2 rozszerza wskazane zadania inwentaryzacyjne i informacyjne na lasy bez względu na formę własności.
Kto może ustanawiać leśne kompleksy promocyjne?,Dyrektor Generalny Lasów Państwowych,Starosta,Rada gminy,Minister właściwy do spraw rolnictwa,1,Art. 13b ust. 1 przyznaje to uprawnienie Dyrektorowi Generalnemu.
Czy do leśnego kompleksu promocyjnego można włączyć lasy innych właścicieli niż Lasy Państwowe?,"Nie, nigdy.","Tak, na ich wniosek.","Tak, bez ich zgody.","Tak, wyłącznie decyzją wojewody.",2,Art. 13b ust. 2 dopuszcza włączenie lasów innych właścicieli na ich wniosek.
Kto opracowuje krajowy program zwiększania lesistości?,Dyrektor Generalny Lasów Państwowych,Starosta,Minister właściwy do spraw środowiska,Rada Ministrów,3,Art. 14 ust. 2a wskazuje ministra właściwego do spraw środowiska jako autora programu.
Kto zatwierdza krajowy program zwiększania lesistości?,Sejm,Dyrektor Generalny Lasów Państwowych,Minister właściwy do spraw rolnictwa,Rada Ministrów,4,"Art. 14 ust. 2a stanowi, że program zatwierdza Rada Ministrów."
Na kim ciąży obowiązek zalesiania gruntów pozostających w zarządzie Lasów Państwowych?,Na nadleśniczych,Na starostach,Na wójtach,Na regionalnych dyrektorach ochrony środowiska,1,Art. 14 ust. 4 powierza ten obowiązek nadleśniczym.
Kto wydaje decyzję o przyznaniu dotacji z budżetu państwa na zalesienie określonych gruntów prywatnych?,Wójt,Starosta,Dyrektor Generalny Lasów Państwowych,Wojewoda,2,Art. 14 ust. 5 przewiduje decyzję starosty po zaopiniowaniu przez organ wykonawczy gminy.
Czy drewno pozyskane w lasach podlega ocechowaniu?,Nie,Tylko drewno z lasów prywatnych,Tak,Tylko drewno przeznaczone na eksport,3,"Art. 14a ust. 1 stanowi, że drewno pozyskane w lasach podlega ocechowaniu."
Kto cechuje drewno pozyskane w lasach niestanowiących własności Skarbu Państwa?,Nadleśniczy,Wójt,Wojewódzki inspektor ochrony środowiska,Starosta,4,Art. 14a ust. 3 powierza cechowanie takiego drewna staroście.
Jaki dokument otrzymuje właściciel lasu niepaństwowego po ocechowaniu drewna przez starostę?,Dokument stwierdzający legalność pozyskania drewna,Świadectwo pochodzenia drewna wydawane przez wójta,Pozwolenie na wycinkę,Decyzję o zmianie przeznaczenia lasu,1,Art. 14a ust. 3 przewiduje wystawienie dokumentu stwierdzającego legalność pozyskania drewna.
Które lasy mogą być uznane za lasy ochronne?,Wyłącznie lasy prywatne.,"Lasy spełniające szczególne funkcje ochronne, przyrodnicze, naukowe lub społeczne wskazane w art. 15.",Wyłącznie lasy o powierzchni ponad 1000 ha.,Każdy las automatycznie po 50 latach istnienia.,2,"Art. 15 wymienia kategorie lasów, które mogą być uznane za lasy ochronne."
Kto uznaje za ochronny las stanowiący własność Skarbu Państwa?,Starosta,Wójt,Minister właściwy do spraw środowiska,Dyrektor parku narodowego,3,Art. 16 ust. 1 przewiduje decyzję ministra właściwego do spraw środowiska.
Kto uznaje za ochronny las niestanowiący własności Skarbu Państwa?,Minister właściwy do spraw środowiska,Wojewoda,Nadleśniczy,Starosta,4,Art. 16 ust. 1a przewiduje decyzję starosty po uzgodnieniu z właścicielem i zasięgnięciu opinii rady gminy.
Ile czasu ma rada gminy na wyrażenie opinii w sprawie uznania lasu za ochronny?,2 miesiące,14 dni,30 dni,6 miesięcy,1,Art. 16 ust. 2 przewiduje termin dwóch miesięcy.
Co oznacza brak opinii rady gminy w terminie 2 miesięcy w sprawie lasu ochronnego?,Uznaje się opinię za negatywną.,"Uznaje się, że rada gminy nie zgłasza zastrzeżeń.",Postępowanie ulega umorzeniu.,Wniosek musi zostać złożony ponownie.,2,Upływ terminu bez opinii traktowany jest jako brak zastrzeżeń rady gminy.
Na jaki okres co do zasady sporządza się plan urządzenia lasu?,5 lat,15 lat,10 lat,20 lat,3,Art. 18 ust. 1 przewiduje zasadniczo okres 10 lat.
Czy plan urządzenia lasu może być sporządzony na okres krótszy niż 10 lat?,"Nie, okres 10 lat jest bezwzględny.","Tak, ale wyłącznie na 1 rok.","Tak, wyłącznie za zgodą rady gminy.","Tak, w przypadkach uzasadnionych stanem lasów, np. szkodami lub klęskami żywiołowymi.",4,Art. 18 ust. 2 dopuszcza krótszy okres w uzasadnionych przypadkach.
Który element powinien zawierać plan urządzenia lasu?,Program ochrony przyrody,Plan zagospodarowania przestrzennego gminy,Budżet powiatu,Rejestr wszystkich umów sprzedaży drewna,1,Art. 18 ust. 4 wymienia program ochrony przyrody wśród elementów planu.
Dla jakich lasów sporządza się plany urządzenia lasu?,Wyłącznie dla lasów prywatnych.,"Dla lasów stanowiących własność Skarbu Państwa, z zastrzeżeniami ustawy.",Wyłącznie dla lasów miejskich.,Dla wszystkich lasów bez wyjątku w tej samej formie.,2,Art. 19 ust. 1 odnosi plany urządzenia lasu do lasów Skarbu Państwa.
Dla jakich lasów co do zasady sporządza się uproszczone plany urządzenia lasu?,Wyłącznie dla parków narodowych.,Wyłącznie dla lasów Skarbu Państwa w zarządzie Lasów Państwowych.,Dla lasów niestanowiących własności Skarbu Państwa oraz lasów wchodzących w skład Zasobu Własności Rolnej Skarbu Państwa.,Wyłącznie dla lasów ochronnych.,3,Art. 19 ust. 2 wskazuje te dwie podstawowe kategorie.
Kto określa zadania gospodarki leśnej dla rozdrobnionych lasów niepaństwowych o powierzchni do 10 ha?,Wójt w drodze zarządzenia,Nadleśniczy w każdym przypadku,Minister właściwy do spraw środowiska,Starosta w drodze decyzji na podstawie inwentaryzacji stanu lasów.,4,Art. 19 ust. 3 przewiduje decyzję starosty.
Kto określa zadania gospodarki leśnej dla rozdrobnionych lasów do 10 ha wchodzących w skład Zasobu Własności Rolnej Skarbu Państwa?,Nadleśniczy,Starosta,Wójt,Wojewoda,1,Art. 19 ust. 4 powierza to nadleśniczemu.
Kto sporządza plany urządzenia lasu i uproszczone plany urządzenia lasu?,Wyłącznie starosta.,Specjalistyczne jednostki lub inne podmioty wykonawstwa urządzeniowego.,Wyłącznie właściciel lasu.,Wyłącznie regionalny dyrektor ochrony środowiska.,2,Art. 19 ust. 5 wskazuje specjalistyczne jednostki lub inne podmioty wykonawstwa urządzeniowego.
Jak długo projekt uproszczonego planu urządzenia lasu wykłada się do publicznego wglądu?,14 dni,30 dni,60 dni,90 dni,3,Art. 21 ust. 4 przewiduje wyłożenie na okres 60 dni.
Gdzie wykłada się projekt uproszczonego planu urządzenia lasu do publicznego wglądu?,W siedzibie starostwa wyłącznie,W siedzibie nadleśnictwa wyłącznie,W urzędzie marszałkowskim,W siedzibie urzędu gminy,4,Art. 21 ust. 4 wskazuje siedzibę urzędu gminy.
W jakim terminie właściciele lasów mogą składać zastrzeżenia i wnioski do projektu uproszczonego planu urządzenia lasu?,30 dni od daty wyłożenia projektu,7 dni,14 dni,60 dni od zakończenia wyłożenia,1,Art. 21 ust. 5 przewiduje termin 30 dni od daty wyłożenia projektu.
Kto rozstrzyga o uznaniu lub nieuznaniu zastrzeżeń do projektu uproszczonego planu urządzenia lasu?,Wójt,Starosta,Nadleśniczy,Dyrektor Generalny Lasów Państwowych,2,"Art. 21 ust. 5 stanowi, że decyzje w tej sprawie wydaje starosta."
Kto zatwierdza plan urządzenia lasu dla lasów stanowiących własność Skarbu Państwa?,Starosta,Dyrektor Generalny Lasów Państwowych,Minister właściwy do spraw środowiska,Wójt,3,Art. 22 ust. 1 powierza zatwierdzanie ministrowi właściwemu do spraw środowiska.
Kto zatwierdza uproszczony plan urządzenia lasu dla lasów niepaństwowych?,Minister właściwy do spraw środowiska,Wójt,Dyrektor Generalny Lasów Państwowych,"Starosta, po uzyskaniu opinii właściwego terytorialnie nadleśniczego.",4,Art. 22 ust. 2 przewiduje zatwierdzenie przez starostę po uzyskaniu opinii nadleśniczego.
Ile czasu ma nadleśniczy na zgłoszenie zastrzeżeń do projektu uproszczonego planu urządzenia lasu?,30 dni,7 dni,14 dni,60 dni,1,Art. 22 ust. 3 przewiduje termin 30 dni.
W jakiej formie może być dokonana zmiana planu urządzenia lasu lub uproszczonego planu?,Wyłącznie nowym planem uchwalanym od początku,Aneksem,Zarządzeniem wójta,Uchwałą rady gminy,2,Art. 23 ust. 1 przewiduje możliwość zmiany planu aneksem.
Kiedy można zwiększyć rozmiar pozyskania drewna ponad etat miąższościowy użytków rębnych określony w planie?,Zawsze decyzją nadleśniczego.,Po przekroczeniu planu finansowego.,Tylko w związku ze szkodą lub klęską żywiołową.,Na wniosek dowolnego nabywcy drewna.,3,Art. 23 ust. 2 ogranicza taką możliwość do szkody lub klęski żywiołowej.
Kto może zezwolić na pozyskanie drewna w lesie niepaństwowym niezgodnie z uproszczonym planem w przypadkach losowych?,Wójt,Nadleśniczy bez decyzji,Minister właściwy do spraw środowiska,Starosta,4,Art. 23 ust. 4 przewiduje decyzję starosty na wniosek właściciela.
"Co robi starosta, gdy właściciel lasu niepaństwowego nie wykonuje obowiązków trwałego utrzymywania i ochrony lasu (art. 13) lub zadań planu?",Nakazuje wykonanie obowiązków i zadań w drodze decyzji.,Automatycznie przejmuje las.,Nakłada podatek karny bez decyzji.,Przekazuje las Lasom Państwowym.,1,Art. 24 przewiduje nakaz wykonania obowiązków i zadań w drodze decyzji starosty.
Czy lasy stanowiące własność Skarbu Państwa są co do zasady udostępniane dla ludności?,Nie,Tak,Tylko po uzyskaniu zezwolenia starosty,Tylko w weekendy,2,Art. 26 ust. 1 ustanawia zasadę udostępniania lasów Skarbu Państwa ludności.
Które uprawy leśne są objęte stałym zakazem wstępu?,Uprawy do 1 m wysokości,Uprawy do 2 m wysokości,Uprawy leśne do 4 m wysokości,Wszystkie uprawy bez względu na wysokość,3,Art. 26 ust. 2 pkt 1 obejmuje stałym zakazem wstępu uprawy leśne do 4 m wysokości.
Który z poniższych obszarów jest objęty stałym zakazem wstępu do lasu?,Każda droga leśna,Każdy parking leśny,Każdy las mieszany,Ostoje zwierząt,4,Art. 26 ust. 2 wymienia ostoje zwierząt wśród obszarów objętych stałym zakazem wstępu.
Kto wprowadza okresowy zakaz wstępu do lasu Skarbu Państwa?,Nadleśniczy,Starosta,Wójt,Minister właściwy do spraw środowiska,1,Art. 26 ust. 3 przyznaje to uprawnienie nadleśniczemu.
Która sytuacja może uzasadniać okresowy zakaz wstępu do lasu?,Niska cena drewna,Duże zagrożenie pożarowe,Brak miejsc parkingowych,Zwykła zmiana pory roku,2,Art. 26 ust. 3 wymienia duże zagrożenie pożarowe.
Czy zbiór płodów runa leśnego w lasach Skarbu Państwa na potrzeby własne jest co do zasady dopuszczalny?,"Nie, zawsze jest zabroniony.","Tak, ale wymaga umowy z nadleśnictwem.","Tak, z uwzględnieniem ustawowych zakazów.","Tak, wyłącznie dla mieszkańców gminy.",3,Art. 27 ust. 1 dopuszcza zbiór na potrzeby własne z uwzględnieniem zakazów.
Czego wymaga zbiór płodów runa leśnego dla celów przemysłowych?,Wyłącznie zgłoszenia w gminie,Decyzji wojewody,Zgody Policji,Zawarcia umowy z nadleśnictwem,4,Art. 27 ust. 2 wymaga umowy z nadleśnictwem.
Czy lokalizowanie pasiek w lasach Skarbu Państwa jest odpłatne?,"Nie, jest nieodpłatne.","Tak, zawsze.","Tak, według stawki ustalanej przez starostę.","Tak, z wyjątkiem parków narodowych.",1,"Art. 27 ust. 4 stanowi, że lokalizowanie pasiek jest nieodpłatne."
Czy właściciel lasu niepaństwowego może zakazać wstępu do swojego lasu?,"Nie, każdy las prywatny musi być otwarty.","Tak, oznaczając las tablicą z odpowiednim napisem.","Tak, ale wyłącznie decyzją starosty.","Tak, ale tylko w okresie zagrożenia pożarowego.",2,Art. 28 pozwala właścicielowi lasu niepaństwowego zakazać wstępu przez odpowiednie oznaczenie.
Gdzie w lesie dozwolony jest ruch pojazdem silnikowym?,Na każdej drodze leśnej.,Wyłącznie poza lasem.,"Na drogach publicznych, a na drogach leśnych tylko wtedy, gdy są odpowiednio oznakowane jako dopuszczone do ruchu.",Na każdej drodze po uzyskaniu zgody wójta.,3,Art. 29 ust. 1 ogranicza ruch pojazdów do dróg publicznych i oznakowanych dróg leśnych.
Gdzie dopuszczalna jest jazda konna w lesie?,W każdym miejscu w lesie.,Wyłącznie drogami publicznymi.,Tylko po uzyskaniu decyzji starosty.,Tylko drogami leśnymi wyznaczonymi przez nadleśniczego.,4,Art. 29 ust. 1a ogranicza jazdę konną do wyznaczonych dróg leśnych.
Czy impreza masowa organizowana w lesie wymaga zgody?,"Tak, zgody właściciela lasu.",Nie.,"Tak, wyłącznie zgody wójta.","Tak, wyłącznie zgody Policji.",1,Art. 29 ust. 4 wymaga zgody właściciela lasu.
Czy biwakowanie w lesie jest dozwolone w dowolnym miejscu?,"Tak, wszędzie.","Nie, tylko w miejscach wyznaczonych przez właściciela lasu lub nadleśniczego.","Tak, jeśli trwa krócej niż 24 godziny.","Tak, wyłącznie za zgodą starosty.",2,Art. 30 ust. 1 pkt 10 zakazuje biwakowania poza wyznaczonymi miejscami.
Czy puszczanie psów luzem w lesie jest co do zasady zabronione?,Nie,Tylko nocą,Tak,Tylko w lasach prywatnych,3,"Art. 30 ust. 1 pkt 13 ustanawia taki zakaz, z ustawowymi wyjątkami."
"W jakiej odległości od granicy lasu obowiązuje zakaz działań mogących wywołać niebezpieczeństwo pożarowe, takich jak korzystanie z otwartego płomienia?",Do 10 m,Do 50 m,Do 500 m,Do 100 m od granicy lasu,4,"Art. 30 ust. 3 obejmuje las, tereny śródleśne i obszar do 100 m od granicy lasu."
Czy rozniecanie ognia w lesie jest zawsze zabronione?,"Nie, może być dopuszczone w miejscach wyznaczonych przez właściciela lasu lub nadleśniczego.","Tak, bez żadnych wyjątków.","Nie, można rozpalać ogień w dowolnym miejscu.","Nie, ale tylko po zgodzie starosty.",1,Art. 30 ust. 3 zakazuje rozniecania ognia poza miejscami do tego wyznaczonymi.
Jaki status mają Lasy Państwowe według art. 32?,Są spółką akcyjną Skarbu Państwa.,Są państwową jednostką organizacyjną nieposiadającą osobowości prawnej.,Są państwową osobą prawną.,Są jednostką samorządu terytorialnego.,2,Art. 32 ust. 1 określa Lasy Państwowe jako państwową jednostkę organizacyjną bez osobowości prawnej.
Która jednostka wchodzi w skład Lasów Państwowych?,Urząd wojewódzki,Starostwo powiatowe,Nadleśnictwo,Regionalna dyrekcja ochrony środowiska,3,Art. 32 ust. 2 wymienia nadleśnictwa wśród jednostek organizacyjnych Lasów Państwowych.
Kto kieruje Lasami Państwowymi?,Minister właściwy do spraw środowiska bezpośrednio,Starosta,Główny Inspektor Straży Leśnej,Dyrektor Generalny Lasów Państwowych,4,"Art. 33 ust. 1 stanowi, że Lasami Państwowymi kieruje Dyrektor Generalny."
Kto powołuje i odwołuje Dyrektora Generalnego Lasów Państwowych?,Minister właściwy do spraw środowiska,Prezes Rady Ministrów,Prezydent RP,Sejm,1,Art. 33 ust. 2 powierza to ministrowi właściwemu do spraw środowiska.
Kto powołuje i odwołuje dyrektorów regionalnych dyrekcji Lasów Państwowych?,Minister właściwy do spraw środowiska,Dyrektor Generalny Lasów Państwowych,Wojewoda,Starosta,2,Art. 33 ust. 3 pkt 9 przyznaje to uprawnienie Dyrektorowi Generalnemu.
Kto powołuje i odwołuje nadleśniczych?,Dyrektor Generalny Lasów Państwowych,Minister właściwy do spraw środowiska,Dyrektor regionalnej dyrekcji Lasów Państwowych,Starosta,3,Art. 34 pkt 2b przewiduje powoływanie i odwoływanie nadleśniczych przez dyrektora regionalnej dyrekcji.
Kto prowadzi samodzielnie gospodarkę leśną w nadleśnictwie na podstawie planu urządzenia lasu?,Starosta,Leśniczy,Dyrektor parku krajobrazowego,Nadleśniczy,4,Art. 35 ust. 1 powierza to nadleśniczemu.
Za co odpowiada nadleśniczy zgodnie z art. 35 ust. 1?,Za stan lasu w nadleśnictwie,Wyłącznie za sprzedaż drewna,Za wszystkie lasy w powiecie,Wyłącznie za finanse regionalnej dyrekcji,1,Art. 35 ust. 1 wskazuje odpowiedzialność nadleśniczego za stan lasu.
Jakiej pomocy nadleśniczy udziela na wniosek właścicielowi lasu niepaństwowego?,Bezpłatnie przejmuje prowadzenie całej gospodarki w każdym przypadku.,M.in. doradztwa w zakresie zalesiania i gospodarki leśnej.,Ustala podatek leśny.,Wydaje pozwolenie na budowę.,2,Art. 35 ust. 2 przewiduje m.in. doradztwo dla właścicieli lasów niepaństwowych.
Kto może nabywać za zgodą Dyrektora Generalnego lasy i inne nieruchomości uzasadnione potrzebami gospodarki leśnej?,Wyłącznie minister właściwy do spraw środowiska.,Wyłącznie starosta.,"Kierownik właściwej jednostki organizacyjnej Lasów Państwowych, z ustawowym wyjątkiem.",Wyłącznie wójt.,3,Art. 37 ust. 1 przewiduje takie uprawnienie kierownika jednostki organizacyjnej Lasów Państwowych za zgodą Dyrektora Generalnego.
Jaka może być maksymalna cena nabycia przez Lasy Państwowe lasu lub gruntu na podstawie art. 37?,"Dowolna, jeżeli zgodzi się nadleśniczy.",Dwukrotność wartości rynkowej.,Nie więcej niż wartość podatkowa.,Nie wyższa niż wartość określona przez rzeczoznawcę majątkowego.,4,Art. 37 ust. 5 ogranicza cenę do wartości określonej przez rzeczoznawcę majątkowego.
Komu przysługuje z mocy prawa prawo pierwokupu określonych gruntów leśnych sprzedawanych przez podmioty prywatne?,Skarbowi Państwa reprezentowanemu przez Lasy Państwowe,Gminie,Powiatowi,Województwu,1,Art. 37a ust. 1 przyznaje prawo pierwokupu Skarbowi Państwa reprezentowanemu przez Lasy Państwowe.
Czy prawo pierwokupu Lasów Państwowych z art. 37a stosuje się w przypadku dziedziczenia?,"Tak, zawsze.",Nie,"Tak, ale tylko przy lasach powyżej 10 ha.","Tak, za zgodą sądu.",2,Art. 37a ust. 4 wyłącza stosowanie prawa pierwokupu m.in. w przypadku dziedziczenia.
Kto niezwłocznie zawiadamia właściwego nadleśniczego o treści umowy sprzedaży gruntu objętego prawem pierwokupu?,Wójt,Starosta,Notariusz,Kupujący w każdym przypadku,3,Art. 37b ust. 1 nakłada ten obowiązek na notariusza.
W jakim terminie może być wykonane prawo pierwokupu z art. 37a?,W ciągu 7 dni,W ciągu 14 dni,W ciągu 3 miesięcy,W terminie miesiąca od otrzymania przez nadleśniczego odpowiedniego zawiadomienia.,4,Art. 37c ustanawia termin jednego miesiąca.
W jakiej formie Lasy Państwowe wykonują prawo pierwokupu?,Przez złożenie oświadczenia w formie aktu notarialnego.,Przez decyzję administracyjną.,Przez uchwałę rady gminy.,Przez zwykłe pismo bez formy szczególnej.,1,Art. 37d wymaga oświadczenia w formie aktu notarialnego.
