pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Czy osoba żądająca informacji o środowisku musi wykazać interes prawny lub faktyczny?,Nie,"Tak, zawsze interes prawny","Tak, zawsze interes faktyczny",Tylko gdy informacja dotyczy emisji,1,"Art. 13 stanowi, że nie wymaga się wykazania interesu prawnego ani faktycznego."
Jaki jest podstawowy maksymalny termin udostępnienia informacji o środowisku?,7 dni,1 miesiąc od otrzymania wniosku,14 dni,2 miesiące w każdym przypadku,2,"Art. 14 ust. 1 przewiduje udostępnienie bez zbędnej zwłoki, nie później niż w ciągu miesiąca."
Do jakiego terminu może zostać przedłużone udostępnienie informacji ze względu na skomplikowanie sprawy?,Do 3 miesięcy,Do 6 miesięcy,Do 2 miesięcy,Nie można przedłużyć terminu,3,Art. 14 ust. 2 pozwala wydłużyć termin do 2 miesięcy.
"W jakim terminie udostępnia się dokumenty, których dane są zamieszczane w publicznie dostępnych wykazach?",W ciągu 7 dni,W ciągu 14 dni,W ciągu miesiąca,"Niezwłocznie, nie później niż w ciągu 3 dni od złożenia wniosku",4,Art. 14 ust. 3 przewiduje maksymalnie 3 dni.
"Kiedy udostępnia się informacje dotyczące bezpośredniego zagrożenia, o których mowa w art. 12 ust. 2 pkt 2?",W dniu złożenia wniosku,W ciągu 3 dni,W ciągu 14 dni,W ciągu miesiąca,1,Art. 14 ust. 4 nakazuje udostępnić je w dniu złożenia wniosku.
W jakiej formie organ powinien co do zasady udostępnić informację?,Wyłącznie w formie papierowej,"W sposób i w formie określonych we wniosku, jeśli pozwalają na to środki techniczne",Wyłącznie przez BIP,W dowolnej formie wybranej przez organ,2,"Art. 15 respektuje sposób i formę wskazane przez wnioskodawcę, o ile jest to technicznie możliwe."
W jakim terminie władze publiczne informują o braku możliwości udostępnienia informacji w żądanej formie?,3 dni,7 dni,14 dni od otrzymania wniosku,30 dni,3,Art. 15 ust. 2 przewiduje termin 14 dni.
"Co następuje, jeżeli wnioskodawca po powiadomieniu o dostępnych formach przez 14 dni nie dokona wyboru?",Wniosek automatycznie uznaje się za uwzględniony,Informację wysyła się pocztą,Sprawę przekazuje się RDOŚ,Władze publiczne wydają decyzję o odmowie udostępnienia informacji,4,Art. 15 ust. 3 przewiduje w takim przypadku decyzję o odmowie.
Czy ochrona danych osobowych osób trzecich może uzasadniać odmowę udostępnienia informacji?,"Tak, jeżeli ochrona jest przewidziana odrębnymi przepisami","Nie, nigdy",Wyłącznie za zgodą sądu,Tylko gdy chodzi o urzędnika,1,Art. 16 ust. 1 wymienia ochronę danych osobowych jako jedną z możliwych przesłanek odmowy.
Czy bezpieczeństwo publiczne może stanowić przesłankę odmowy udostępnienia informacji o środowisku?,Nie,Tak,Tylko podczas stanu wyjątkowego,Wyłącznie w postępowaniu karnym,2,Art. 16 ust. 1 wymienia bezpieczeństwo publiczne wśród przesłanek odmowy.
Czy wniosek oczywiście niemożliwy do zrealizowania może być podstawą odmowy?,Nie,Tylko po zgodzie GDOŚ,Tak,Wyłącznie gdy wnioskodawca jest przedsiębiorcą,3,Art. 16 ust. 2 wskazuje oczywistą niemożliwość realizacji jako możliwą podstawę odmowy.
Jak organ powinien postąpić z wnioskiem sformułowanym zbyt ogólnie?,Od razu pozostawić bez rozpoznania,Automatycznie odmówić bez wezwania,Przekazać do sądu administracyjnego,"Wezwać do uzupełnienia, udzielając wyjaśnień, pomocy i wskazówek",4,Art. 19 ust. 3 przewiduje wezwanie do uzupełnienia oraz pomoc w prawidłowym sformułowaniu wniosku.
W jakim terminie organ powinien wezwać do uzupełnienia zbyt ogólnego wniosku?,Nie później niż w ciągu 14 dni od otrzymania wniosku,3 dni,7 dni,30 dni,1,Art. 19 ust. 3 przewiduje termin 14 dni.
"Co robi organ, gdy żądana informacja nie znajduje się w jego posiadaniu, ale można ustalić właściwy podmiot?",Zawsze wydaje decyzję odmowną,Przekazuje wniosek właściwemu podmiotowi i powiadamia wnioskodawcę,Pozostawia wniosek bez odpowiedzi,Przekazuje wniosek wyłącznie do GDOŚ,2,Art. 19 ust. 2 nakazuje przekazanie wniosku podmiotowi posiadającemu informację.
W jakim maksymalnym terminie przekazuje się niewłaściwie skierowany wniosek podmiotowi posiadającemu informację?,3 dni,7 dni,14 dni od otrzymania wniosku,30 dni,3,Art. 19 ust. 2 przewiduje termin nie dłuższy niż 14 dni.
"Co należy zrobić, jeśli nie można ustalić podmiotu posiadającego żądaną informację?",Wydać pozwolenie zastępcze,Przekazać wniosek wojewodzie,Pozostawić bez rozpatrzenia bez informacji,Zwrócić wniosek wnioskodawcy,4,Art. 19 ust. 2 pkt 2 przewiduje zwrot wniosku wnioskodawcy.
"Jeżeli część informacji podlega wyłączeniu z udostępnienia, a można ją oddzielić od pozostałej części, co należy zrobić?",Udostępnić pozostałą część informacji,Odmówić udostępnienia całości,Zniszczyć dokument,Przekazać całość wyłącznie sądowi,1,Art. 19 ust. 4 nakazuje udostępnić część informacji nieobjętą wyłączeniem.
W jakiej formie następuje odmowa udostępnienia informacji o środowisku?,W formie ustnej bez uzasadnienia,W drodze decyzji,W drodze zarządzenia,"W formie postanowienia, na które nie służy środek zaskarżenia",2,"Art. 20 ust. 1 stanowi, że odmowa następuje w drodze decyzji."
W jakim terminie przekazuje się akta i odpowiedź na skargę w sprawie udostępnienia informacji?,7 dni,30 dni,15 dni od otrzymania skargi,2 miesiące,3,Art. 20 ust. 2 pkt 1 przewiduje termin 15 dni.
W jakim terminie sąd powinien rozpatrzyć skargę w sprawie udostępnienia informacji po otrzymaniu akt i odpowiedzi?,7 dni,14 dni,60 dni,30 dni,4,Art. 20 ust. 2 pkt 2 przewiduje termin 30 dni.
Gdzie zamieszcza się dane o dokumentach zawierających informacje o środowisku?,W publicznie dostępnych wykazach,Wyłącznie w Centralnym Rejestrze Sądowym,Tylko w aktach sprawy,Wyłącznie w Monitorze Polskim,1,Art. 21 ust. 1 nakazuje zamieszczanie takich danych w publicznie dostępnych wykazach.
Czy dane o wnioskach i zezwoleniach na usunięcie drzewa lub krzewu są objęte publicznie dostępnym wykazem?,Nie,Tak,Tylko gdy drzewo jest pomnikiem przyrody,Wyłącznie na obszarach Natura 2000,2,Art. 21 ust. 2 obejmuje dane o wnioskach i zezwoleniach na usunięcie drzewa lub krzewu.
Czy dane o decyzjach wymierzających kary pieniężne za naruszenia przepisów o usuwaniu drzew i krzewów są objęte publicznie dostępnym wykazem?,Nie,Wyłącznie po uprawomocnieniu wyroku sądu,Tak,Tylko gdy kara przekracza 10 000 zł,3,Art. 21 ust. 2 obejmuje dane o decyzjach o wymiarze kar z art. 88 ustawy o ochronie przyrody.
W jakim terminie co do zasady zamieszcza się dane w publicznie dostępnych wykazach?,3 dni,7 dni,30 dni,14 dni od wytworzenia dokumentu albo przekazania go właściwym władzom publicznym,4,Art. 21 ust. 4 przewiduje termin 14 dni.
W jakiej formie prowadzi się publicznie dostępne wykazy?,Elektronicznej,Wyłącznie papierowej,Ustnej,"Dowolnej, bez obowiązku BIP",1,"Art. 23 ust. 1 stanowi, że wykazy prowadzi się elektronicznie."
Gdzie władze publiczne udostępniają publicznie dostępny wykaz?,Wyłącznie w urzędzie wojewódzkim,W Biuletynie Informacji Publicznej,W Krajowym Rejestrze Sądowym,Wyłącznie w prasie lokalnej,2,Art. 23 ust. 1 nakazuje udostępnianie wykazu w BIP.
Czy wyszukiwanie i przeglądanie w siedzibie władz dokumentów wyszczególnionych w publicznym wykazie jest odpłatne?,"Tak, zawsze 10 zł","Tak, według stawki godzinowej","Nie, jest bezpłatne","Tak, chyba że wnioskodawca jest stroną",3,Art. 26 ust. 1 przewiduje bezpłatne wyszukiwanie i przeglądanie takich dokumentów.
Za co mogą być pobierane opłaty przy udostępnianiu informacji o środowisku?,Za samo złożenie wniosku,Za wykazanie interesu prawnego,Za każdą wizytę w urzędzie,"M.in. za wyszukiwanie, przekształcanie, sporządzanie kopii i przesłanie",4,"Art. 26 ust. 2 wskazuje czynności, za które można pobrać opłatę odpowiadającą uzasadnionym kosztom."
Jaka jest górna stawka za wyszukiwanie informacji wymagające wyszukania do 10 dokumentów?,10 zł,5 zł,20 zł,50 zł,1,Art. 27 ust. 1 pkt 1 przewiduje górną stawkę 10 zł.
Jaka jest górna opłata za przekształcenie informacji w formę wskazaną we wniosku za każdy informatyczny nośnik danych?,1 zł,3 zł,5 zł,10 zł,2,Art. 27 ust. 1 pkt 2 przewiduje górną stawkę 3 zł.
Jaka jest górna opłata za jedną czarno-białą stronę A4?,"0,30 zł",1 zł,"0,60 zł",6 zł,3,"Art. 27 ust. 1 pkt 3 lit. a wskazuje 0,60 zł."
Jaka jest górna opłata za jedną kolorową stronę A4?,"0,60 zł",3 zł,10 zł,6 zł,4,Art. 27 ust. 1 pkt 3 lit. b wskazuje 6 zł.
Kto ma prawo składać uwagi i wnioski w postępowaniu wymagającym udziału społeczeństwa?,Każdy,Wyłącznie strona postępowania,Wyłącznie organizacja ekologiczna,Tylko właściciel nieruchomości objętej postępowaniem,1,Art. 29 przyznaje to prawo każdemu.
Kiedy organ ma zapewnić możliwość udziału społeczeństwa przy wydawaniu decyzji?,Dopiero po wydaniu decyzji,Przed wydaniem decyzji lub jej zmianą,Wyłącznie na etapie odwoławczym,Po zakończeniu inwestycji,2,Art. 30 wymaga zapewnienia udziału społeczeństwa przed wydaniem lub zmianą decyzji.
Jaki termin składania uwag i wniosków wskazuje się przed wydaniem decyzji wymagającej udziału społeczeństwa?,14 dni,21 dni,30 dni,60 dni,3,Art. 33 ust. 1 pkt 7 przewiduje 30-dniowy termin.
Czy organ informuje społeczeństwo o możliwości zapoznania się z niezbędną dokumentacją sprawy?,Nie,Tylko gdy wpłynie co najmniej 10 wniosków,Tylko w postępowaniu transgranicznym,Tak,4,Art. 33 nakazuje podać informację o dokumentacji i miejscu jej wyłożenia.
Jak długo co najmniej informacje o postępowaniu wymagającym udziału społeczeństwa (art. 33 ust. 1) powinny być dostępne na stronach BIP właściwych organów?,1 rok,30 dni,6 miesięcy,5 lat,1,Art. 33a ust. 2 przewiduje okres nie krótszy niż jeden rok.
Przez ile kolejnych dni organ gminy udostępnia informacje o postępowaniu wymagającym udziału społeczeństwa (art. 33 ust. 1) w sposób zwyczajowo przyjęty w miejscowości?,14 dni,30 dni,21 dni,60 dni,2,Art. 33a ust. 3 pkt 2 przewiduje 30 kolejnych dni.
W jakich formach mogą być wnoszone uwagi i wnioski w postępowaniu dotyczącym decyzji?,Wyłącznie pisemnie,Wyłącznie przez ePUAP z kwalifikowanym podpisem,"Pisemnie, ustnie do protokołu lub elektronicznie bez kwalifikowanego podpisu",Wyłącznie ustnie na rozprawie,3,Art. 34 przewiduje trzy sposoby składania uwag i wniosków.
Co dzieje się z uwagami lub wnioskami złożonymi po terminie w postępowaniu dotyczącym decyzji?,Rozpatruje się je obowiązkowo,Przekazuje się do organu odwoławczego,Traktuje się je jako odwołanie,Pozostawia się je bez rozpatrzenia,4,Art. 35 nakazuje pozostawić spóźnione uwagi i wnioski bez rozpatrzenia.
Czy organ może przeprowadzić rozprawę administracyjną otwartą dla społeczeństwa?,Tak,Nie,Tylko na wniosek organizacji ekologicznej,Wyłącznie gdy liczba stron przekracza 20,1,Art. 36 pozwala organowi przeprowadzić taką rozprawę.
Co organ prowadzący postępowanie musi zrobić z uwagami i wnioskami społeczeństwa?,Przekazać je do sądu,Rozpatrzyć je,Pozostawić bez rozpatrzenia,Rozpatrywać tylko uwagi organizacji ekologicznych,2,Art. 37 pkt 1 nakazuje rozpatrzenie uwag i wniosków.
Co dodatkowo powinno znaleźć się w uzasadnieniu decyzji po postępowaniu z udziałem społeczeństwa?,Wyłącznie lista osób obecnych na rozprawie,Jedynie wykaz dokumentów w BIP,Informacja o udziale społeczeństwa oraz sposobie uwzględnienia uwag i wniosków,Wyłącznie stanowisko inwestora,3,Art. 37 pkt 2 wymaga opisania udziału społeczeństwa i sposobu potraktowania zgłoszonych uwag.
Co organ robi po wydaniu decyzji wymagającej udziału społeczeństwa?,Publikuje tylko numer decyzji,Nie ma żadnego obowiązku informacyjnego,Przesyła decyzję wyłącznie organizacjom ekologicznym,Podaje do publicznej wiadomości informację o decyzji i możliwości zapoznania się z jej treścią,4,Art. 38 nakazuje podanie informacji o wydanej decyzji do publicznej wiadomości.
Jaki minimalny termin składania uwag i wniosków wskazuje się przy opracowywaniu projektu dokumentu?,Co najmniej 21 dni,7 dni,14 dni,30 dni w każdym przypadku,1,Art. 39 ust. 1 pkt 4 wymaga terminu co najmniej 21 dni.
"Czy prognoza oddziaływania na środowisko należy do niezbędnej dokumentacji projektu dokumentu, jeśli prowadzona jest strategiczna OOŚ?",Nie,Tak,Tylko po przyjęciu dokumentu,Wyłącznie na żądanie GDOŚ,2,Art. 39 ust. 2 wymienia prognozę jako część niezbędnej dokumentacji w takim przypadku.
Co organ dołącza do przyjętego dokumentu wymagającego udziału społeczeństwa?,Wyłącznie listę stron postępowania,Protokół kontroli WIOŚ,Uzasadnienie dotyczące udziału społeczeństwa i sposobu uwzględnienia uwag i wniosków,Decyzję o środowiskowych uwarunkowaniach w każdym przypadku,3,Art. 42 pkt 2 wymaga takiego uzasadnienia.
"Jaki minimalny okres działalności statutowej w ochronie środowiska lub przyrody musi mieć organizacja ekologiczna, aby uczestniczyć na prawach strony na podstawie art. 44 ust. 1?",3 miesiące,6 miesięcy,24 miesiące,12 miesięcy przed wszczęciem postępowania,4,Art. 44 ust. 1 wymaga minimum 12 miesięcy działalności statutowej.
"Czy organizacja ekologiczna może wnieść odwołanie od decyzji w postępowaniu wymagającym udziału społeczeństwa, mimo że nie brała udziału przed organem I instancji?","Tak, jeśli jest to uzasadnione jej celami statutowymi",Nie,"Tak, ale tylko za zgodą inwestora",Tylko po wykazaniu prawa własności nieruchomości,1,Art. 44 ust. 2 przyznaje organizacji takie uprawnienie.
"Czy organizacji ekologicznej może przysługiwać skarga do sądu administracyjnego, mimo że nie uczestniczyła wcześniej w postępowaniu?",Nie,"Tak, jeśli jest to uzasadnione jej celami statutowymi",Tylko gdy była stroną w I instancji,Wyłącznie po zgodzie RDOŚ,2,Art. 44 ust. 3 przyznaje takie prawo.
Jaki środek przysługuje organizacji ekologicznej na postanowienie o odmowie dopuszczenia jej do udziału w postępowaniu?,Skarga kasacyjna,Sprzeciw do rady gminy,Zażalenie,Nie przysługuje żaden środek,3,Art. 44 ust. 4 przewiduje zażalenie.
Czy projekt planu ogólnego gminy może wymagać strategicznej oceny oddziaływania na środowisko?,"Nie, nigdy",Tylko po zgodzie wojewody,Wyłącznie gdy gmina ma ponad 100 tys. mieszkańców,"Tak, w przypadkach wskazanych w art. 46",4,Art. 46 ust. 1 wymienia plan ogólny gminy wśród dokumentów mogących wymagać strategicznej OOŚ.
Czy projekt polityki lub programu z zakresu transportu wyznaczający ramy dla przedsięwzięć mogących znacząco oddziaływać na środowisko wymaga strategicznej OOŚ?,Tak,Nie,Tylko jeśli dotyczy kolei,Wyłącznie gdy jest przyjmowany przez Radę Ministrów,1,Art. 46 ust. 1 pkt 2 obejmuje m.in. dokumenty w dziedzinie transportu.
Czy strategiczna OOŚ może być wymagana dla dokumentu spoza katalogu planów i dokumentów strategicznych z art. 46?,Nie,"Tak, jeśli jego realizacja może znacząco oddziaływać na środowisko i zostanie to stwierdzone w uzgodnieniu z właściwym organem",Tylko dla dokumentów finansowych,Wyłącznie na wniosek organizacji ekologicznej,2,Art. 47 przewiduje strategiczną OOŚ również dla innych dokumentów spełniających wskazane warunki.
W jakiej formie organ sporządza stanowisko w sprawie potrzeby strategicznej OOŚ na podstawie art. 47?,Wyłącznie ustnej,W formie uchwały rady gminy,Pisemnej,W formie wyroku,3,Art. 47 ust. 3 wymaga stanowiska w formie pisemnej.
Czy dokument przygotowywany wyłącznie dla celów obrony narodowej co do zasady wymaga strategicznej OOŚ?,"Tak, zawsze","Nie, bez żadnych wyjątków",Tylko gdy jest finansowany z UE,"Nie, z wyjątkiem przypadku możliwego znaczącego oddziaływania na Natura 2000",4,"Art. 47a wyłącza takie dokumenty, z wyjątkiem możliwego znaczącego oddziaływania na Natura 2000."
Czy dokument finansowy lub budżetowy co do zasady wymaga strategicznej OOŚ?,"Nie, z wyjątkiem przypadku możliwego znaczącego oddziaływania na Natura 2000","Tak, zawsze",Wyłącznie budżet państwa,Tylko budżet gminy,1,Art. 47a obejmuje dokumenty finansowe i budżetowe tym samym wyjątkiem.
Kiedy można odstąpić od strategicznej OOŚ dla planów przestrzennych i innych dokumentów strategicznych z art. 46 ust. 1 pkt 1 i 2?,Zawsze na decyzję autora dokumentu,"Po uzgodnieniu z właściwymi organami, gdy realizacja dokumentu lub zmiany nie spowoduje znaczącego oddziaływania na środowisko",Wyłącznie za zgodą inwestora,Nigdy,2,Art. 48 ust. 1 określa możliwość odstąpienia pod tymi warunkami.
Czy odstąpienie od strategicznej OOŚ dla planu przestrzennego lub innego dokumentu strategicznego z art. 46 ust. 1 pkt 1 i 2 może dotyczyć obszaru kilku gmin?,"Tak, bez ograniczeń","Tak, do trzech gmin","Nie, może dotyczyć wyłącznie obszaru w granicach jednej gminy",Tylko jeśli wszystkie gminy wyrażą zgodę,3,Art. 48 ust. 3 ogranicza takie odstąpienie do obszaru jednej gminy.
Czy informację o odstąpieniu od strategicznej OOŚ podaje się do publicznej wiadomości?,Nie,Tylko na wniosek,Dopiero po 30 dniach,"Tak, bez zbędnej zwłoki wraz z uzasadnieniem",4,Art. 48 ust. 7 przewiduje podanie tej informacji do publicznej wiadomości.
"Czy można odstąpić od strategicznej OOŚ dla miejscowego planu lokalizującego elektrownię wiatrową, gdy plan wprowadza nowe ustalenia wpływające na jej lokalizację?",Nie,"Tak, zawsze","Tak, jeśli inwestor jest gminą",Wyłącznie po zgodzie starosty,1,Art. 48 ust. 8 wyłącza możliwość odstąpienia w opisanym przypadku.
Kto sporządza prognozę oddziaływania na środowisko dla projektu planu lub innego dokumentu strategicznego podlegającego strategicznej OOŚ (art. 46 lub art. 47 ust. 1)?,RDOŚ w każdym przypadku,Organ opracowujący projekt,WIOŚ,Wnioskodawca prywatny niezależnie od autora projektu,2,Art. 51 ust. 1 nakłada ten obowiązek na organ opracowujący projekt.
Czy prognoza oddziaływania na środowisko powinna przedstawiać rozwiązania alternatywne?,Nie,Tylko dla autostrad,"Tak, z uwzględnieniem celów i geograficznego zasięgu dokumentu",Wyłącznie gdy zażąda tego sąd,3,Art. 51 przewiduje przedstawienie rozwiązań alternatywnych oraz uzasadnienie ich wyboru.
Czy prognoza powinna zawierać informacje o metodach zastosowanych przy jej sporządzaniu?,Nie,Tylko dla dokumentów krajowych,Wyłącznie na żądanie społeczeństwa,Tak,4,Art. 51 wymaga m.in. informacji o metodach zastosowanych przy sporządzaniu prognozy.
Czy informacje w prognozie powinny być dostosowane do współczesnej wiedzy i metod oceny?,Tak,Nie,Wyłącznie w odniesieniu do klimatu,Tylko jeśli dokument dotyczy Natura 2000,1,Art. 52 nakazuje dostosować informacje do stanu współczesnej wiedzy i metod oceny.
Z kim organ uzgadnia zakres i stopień szczegółowości informacji wymaganych w prognozie?,Wyłącznie z radą gminy,Z właściwymi organami wskazanymi w art. 57 i 58,Tylko z WIOŚ,Z sądem administracyjnym,2,Art. 53 ust. 1 odsyła do organów właściwych z art. 57 i 58.
W jakim terminie dokonuje się uzgodnienia zakresu i stopnia szczegółowości prognozy?,7 dni,14 dni,30 dni,60 dni,3,Art. 53 ust. 3 przewiduje termin 30 dni.
W jakim terminie właściwe organy wydają opinię o projekcie dokumentu wraz z prognozą?,7 dni,14 dni,60 dni,30 dni od otrzymania wniosku,4,Art. 54 ust. 1 przewiduje termin 30 dni.
Czy w strategicznej OOŚ należy zapewnić udział społeczeństwa?,Tak,Nie,Tylko gdy dokument dotyczy dwóch województw,Wyłącznie na wniosek organizacji ekologicznej,1,Art. 54 ust. 2 nakazuje zapewnić możliwość udziału społeczeństwa.
"Czy projekt dokumentu może zostać przyjęty, gdy strategiczna OOŚ wykazała znaczące negatywne oddziaływanie na Natura 2000 i nie przemawia za nim nadrzędny interes publiczny przy braku rozwiązań alternatywnych (art. 34 ustawy o ochronie przyrody)?","Tak, zawsze",Nie,"Tak, po uchwale rady gminy","Tak, po upływie 30 dni",2,Art. 55 ust. 2 zakazuje przyjęcia dokumentu w takiej sytuacji.
Co dołącza się do dokumentu przyjętego po strategicznej OOŚ?,Wyłącznie protokół kontroli WIOŚ,Decyzję o środowiskowych uwarunkowaniach,Pisemne podsumowanie,Opinię biegłego sądowego,3,Art. 55 ust. 3 nakazuje załączyć pisemne podsumowanie.
Czy organ opracowujący dokument ma obowiązek monitorować skutki realizacji jego postanowień w zakresie oddziaływania na środowisko?,Nie,Tylko przez pierwszy rok,Wyłącznie na polecenie GDOŚ,Tak,4,Art. 55 ust. 5 przewiduje obowiązek monitoringu.
Kto jest właściwy w strategicznej OOŚ dla dokumentów opracowywanych przez naczelne lub centralne organy administracji rządowej?,Generalny Dyrektor Ochrony Środowiska,Regionalny dyrektor ochrony środowiska,Starosta,Wójt,1,Art. 57 ust. 1 pkt 1 wskazuje GDOŚ.
