pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Czy gmina może wykonywać zadania administracji rządowej na podstawie porozumienia?,Nie,Tak,Tylko na podstawie referendum,Wyłącznie za zgodą RIO,2,Art. 8 ust. 2 przewiduje wykonywanie tych zadań także na podstawie porozumienia.
Czy gmina może wykonywać zadania należące do właściwości powiatu lub województwa?,Nie,Tylko na podstawie ustawy budżetowej,"Tak, na podstawie porozumienia z tymi jednostkami",Wyłącznie decyzją wojewody,3,Art. 8 ust. 2a dopuszcza takie porozumienia.
Kto rozpatruje spory majątkowe wynikające z porozumień dotyczących zadań?,Sąd administracyjny,Wojewoda,Regionalna izba obrachunkowa,Sąd powszechny,4,Art. 8 ust. 2b powierza te spory sądowi powszechnemu.
Co przysługuje gminie w razie nieterminowego przekazania środków na zadania zlecone lub powierzone?,Odsetki jak dla zaległości podatkowych,Kara umowna 10%,Dotacja celowa w podwójnej wysokości,Brak szczególnego roszczenia,1,Art. 8 ust. 5 przewiduje odsetki w wysokości ustalonej dla zaległości podatkowych.
W jaki sposób gmina może wykonywać swoje zadania?,Wyłącznie przez urząd gminy,Może tworzyć jednostki organizacyjne i zawierać umowy z innymi podmiotami,Wyłącznie przez spółki komunalne,Tylko przez związki międzygminne,2,Art. 9 ust. 1 dopuszcza tworzenie jednostek organizacyjnych oraz zawieranie umów.
Czym są zadania użyteczności publicznej w rozumieniu ustawy?,Wyłącznie zadaniami odpłatnymi,Wyłącznie zadaniami zleconymi,Zadaniami własnymi służącymi bieżącemu i nieprzerwanemu zaspokajaniu zbiorowych potrzeb przez usługi powszechnie dostępne,Tylko zadaniami inwestycyjnymi,3,Art. 9 ust. 4 definiuje zadania użyteczności publicznej przez ich cel i powszechną dostępność usług.
Jak długo co do zasady można przechowywać nagrania monitoringu gminnego zawierające dane osobowe?,30 dni,6 miesięcy,5 lat,Nie dłużej niż 3 miesiące od dnia nagrania,4,"Art. 9a ust. 3 przewiduje okres nieprzekraczający 3 miesięcy, o ile przepisy odrębne nie stanowią inaczej."
Czy monitoring gminny może obejmować pomieszczenia sanitarne?,Nie,"Tak, zawsze","Tak, za zgodą wójta",Tylko w urzędzie gminy,1,Art. 9a ust. 2 wyłącza m.in. pomieszczenia sanitarne z monitoringu.
Czy jednostki samorządu terytorialnego mogą współdziałać przy wykonywaniu zadań publicznych?,Nie,Tak,Tylko za zgodą Prezesa Rady Ministrów,Wyłącznie w sprawach finansowych,2,Art. 10 ust. 1 przewiduje współdziałanie między jednostkami samorządu terytorialnego.
Czy gminy mogą udzielać innym jednostkom samorządu pomocy finansowej?,Nie,Tylko powiatom,Tak,Wyłącznie województwom,3,"Art. 10 ust. 2 dopuszcza wzajemną pomoc, w tym pomoc finansową."
"Czy gmina może zapewnić wspólną obsługę administracyjną, finansową i organizacyjną własnym jednostkom?",Nie,Wyłącznie po zgodzie wojewody,Tylko jednostkom kultury,Tak,4,Art. 10a przewiduje możliwość zapewnienia wspólnej obsługi wskazanym jednostkom.
Czy wspólna obsługa może obejmować kompetencję kierownika jednostki do dysponowania środkami publicznymi?,Nie,"Tak, zawsze","Tak, po uchwale rady",Tylko w jednostkach kultury,1,Art. 10c ust. 1 wyłącza z zakresu wspólnej obsługi m.in. dysponowanie środkami publicznymi.
Według stanu ustawy na 3 sierpnia 2026 r. czy gmina ma obowiązek opracowania strategii rozwoju gminy?,"Tak, bez żadnych wyjątków już 3 sierpnia 2026 r.","Nie, może ją opracować; obowiązkowe brzmienie ma wejść w życie 1 września 2026 r.","Nie, ustawa zabrania jej opracowania",Tylko miasto na prawach powiatu ma taki obowiązek,2,"Załączony tekst wskazuje, że do 31 sierpnia 2026 r. art. 10e ust. 1 brzmi „Gmina może opracować strategię rozwoju gminy”."
Z jakimi strategiami powinna być spójna strategia rozwoju gminy?,Wyłącznie ze strategią powiatu,Tylko z budżetem państwa,Ze strategią rozwoju województwa oraz strategią rozwoju ponadlokalnego obejmującą tę gminę,Wyłącznie z planem ochrony parku narodowego,3,Art. 10e ust. 2 wskazuje obie te strategie.
Kto opracowuje projekt strategii rozwoju gminy?,Rada gminy,Wojewoda,Starosta,Wójt,4,Art. 10f ust. 2 powierza opracowanie projektu strategii wójtowi.
Kto przyjmuje strategię rozwoju gminy?,Rada gminy w drodze uchwały,Wójt w drodze zarządzenia,Zarząd województwa,Wojewoda,1,Art. 10f ust. 4 przewiduje przyjęcie strategii przez radę gminy.
W jakim terminie zarząd województwa wydaje opinię do projektu strategii rozwoju gminy?,14 dni,30 dni,60 dni,3 miesiące,2,Art. 10f ust. 3 przewiduje termin 30 dni.
Jaki skutek ma brak opinii zarządu województwa w terminie dotyczącym strategii rozwoju gminy?,Projekt zostaje odrzucony,Postępowanie ulega umorzeniu,"Uznaje się, że strategia jest spójna ze strategią rozwoju województwa",Wójt musi ponownie złożyć projekt,3,Art. 10f ust. 3 przewiduje domniemanie spójności.
Czy gminy sąsiadujące i funkcjonalnie powiązane mogą opracować wspólną strategię rozwoju ponadlokalnego?,Nie,Tylko w granicach jednego powiatu,Wyłącznie za zgodą Sejmu,Tak,4,Art. 10g ust. 1 dopuszcza taką strategię.
W jaki sposób mieszkańcy gminy podejmują rozstrzygnięcia?,W głosowaniu powszechnym albo za pośrednictwem organów gminy,Wyłącznie przez radę gminy,Wyłącznie przez referendum,Tylko przez wójta,1,Art. 11 ust. 1 przewiduje wybory i referendum oraz działanie za pośrednictwem organów gminy.
Jakie są organy gminy?,"Rada gminy, starosta i wójt",Rada gminy oraz wójt,Wójt i wojewoda,Rada powiatu i wójt,2,Art. 11a ust. 1 wymienia radę gminy oraz wójta.
Czy działalność organów gminy jest jawna?,Nie,"Tak, ale rada może dowolnie ją ograniczyć","Tak, a ograniczenia jawności mogą wynikać wyłącznie z ustaw",Tylko działalność wójta jest jawna,3,Art. 11b ust. 1 ustanawia zasadę jawności działania organów gminy.
Czy jawność obejmuje prawo obywateli do wstępu na sesje rady gminy?,Nie,Tylko za zgodą przewodniczącego,Wyłącznie mieszkańców gminy,Tak,4,Art. 11b ust. 2 wprost obejmuje prawo wstępu na sesje rady i posiedzenia komisji.
Jaką większością co do zasady zapadają uchwały rady gminy?,Zwykłą większością głosów,Bezwzględną większością ustawowego składu,Większością 2/3,Jednomyślnie,1,"Art. 14 ust. 1 przewiduje zwykłą większość, chyba że ustawa stanowi inaczej."
Jakie quorum jest co do zasady wymagane do podjęcia uchwały rady gminy?,1/3 ustawowego składu,Co najmniej połowa ustawowego składu rady,2/3 ustawowego składu,Obecność wszystkich radnych,2,Art. 14 ust. 1 wymaga obecności co najmniej połowy ustawowego składu rady.
W jakim trybie co do zasady głosuje rada gminy?,Zawsze tajnym,Wyłącznie imiennym papierowym,W głosowaniu jawnym,W głosowaniu korespondencyjnym,3,Art. 14 ust. 1 ustanawia głosowanie jawne jako zasadę.
Gdzie publikuje się imienne wykazy głosowań radnych?,Wyłącznie w urzędzie wojewódzkim,Tylko w protokole sesji,W Monitorze Polskim,W BIP i na stronie internetowej gminy oraz w inny zwyczajowo przyjęty sposób,4,Art. 14 ust. 4 nakazuje niezwłoczne podanie wykazów do publicznej wiadomości.
Jaki charakter ma rada gminy?,Jest organem stanowiącym i kontrolnym,Jest wyłącznie organem wykonawczym,Jest organem nadzoru państwowego,Jest sądem administracyjnym,1,Art. 15 ust. 1 określa radę jako organ stanowiący i kontrolny.
Jak długo trwa kadencja rady gminy?,4 lata,5 lat,6 lat,7 lat,2,"Art. 16 stanowi, że kadencja rady gminy trwa 5 lat."
Ilu radnych liczy rada w gminie do 20 000 mieszkańców?,12,21,15,25,3,Art. 17 ust. 1 pkt 1 przewiduje 15 radnych.
Ilu radnych liczy rada w gminie do 50 000 mieszkańców?,15,23,25,21,4,Art. 17 ust. 1 pkt 2 przewiduje 21 radnych.
Ilu radnych liczy rada w gminie do 100 000 mieszkańców?,23,21,25,30,1,Art. 17 ust. 1 pkt 3 przewiduje 23 radnych.
Ilu radnych liczy rada w gminie do 200 000 mieszkańców?,23,25,30,45,2,Art. 17 ust. 1 pkt 4 przewiduje 25 radnych.
Jaka jest maksymalna liczba radnych w zwykłej radzie gminy?,40,48,45,60,3,Art. 17 ust. 1 pkt 4 ogranicza liczbę radnych do 45.
Do czyjej wyłącznej właściwości należy uchwalanie statutu gminy?,Wójta,Wojewody,Starosty,Rady gminy,4,Art. 18 ust. 2 pkt 1 zastrzega uchwalanie statutu dla rady gminy.
Kto ustala wynagrodzenie wójta?,Rada gminy,Wojewoda,Prezes Rady Ministrów,Sekretarz gminy,1,Art. 18 ust. 2 pkt 2 zalicza ustalanie wynagrodzenia wójta do wyłącznej właściwości rady.
Kto powołuje i odwołuje skarbnika gminy?,Wójt samodzielnie,Rada gminy na wniosek wójta,Wojewoda,Regionalna izba obrachunkowa,2,Art. 18 ust. 2 pkt 3 wskazuje radę gminy działającą na wniosek wójta.
Kto uchwala budżet gminy?,Wójt,RIO,Rada gminy,Wojewoda,3,Art. 18 ust. 2 pkt 4 zalicza uchwalanie budżetu do wyłącznej właściwości rady.
Kto uchwala plan ogólny gminy i miejscowe plany zagospodarowania przestrzennego?,Wójt,Starosta,Wojewoda,Rada gminy,4,Art. 18 ust. 2 pkt 5 przyznaje tę kompetencję radzie gminy.
Kto podejmuje uchwały w sprawie podatków i opłat w granicach określonych ustawami?,Rada gminy,Wójt,Skarbnik gminy,Regionalna izba obrachunkowa,1,Art. 18 ust. 2 pkt 8 zastrzega te sprawy dla rady gminy.
"Kto kontroluje działalność wójta, gminnych jednostek organizacyjnych i jednostek pomocniczych?",Wyłącznie wojewoda,Rada gminy,Skarbnik gminy,Starosta,2,Art. 18a ust. 1 powierza kontrolę radzie gminy.
"Jaką komisję powołuje rada do kontroli działalności wójta, gminnych jednostek organizacyjnych i jednostek pomocniczych (art. 18a)?",Komisję wyborczą,Komisję urbanistyczną,Komisję rewizyjną,Komisję dyscyplinarną,3,Art. 18a ust. 1 nakazuje powołać komisję rewizyjną.
Kto opiniuje wykonanie budżetu gminy i występuje z wnioskiem w sprawie absolutorium dla wójta?,"Komisja skarg, wniosków i petycji",Wojewoda,Sekretarz gminy,Komisja rewizyjna,4,Art. 18a ust. 3 powierza te zadania komisji rewizyjnej.
Kto opiniuje wniosek komisji rewizyjnej w sprawie absolutorium?,Regionalna izba obrachunkowa,Wojewoda,Starosta,Minister finansów,1,Art. 18a ust. 3 wymaga zaopiniowania wniosku przez regionalną izbę obrachunkową.
Jaką komisję rada powołuje do rozpatrywania skarg na działania wójta i gminnych jednostek organizacyjnych oraz wniosków i petycji?,Komisję rewizyjną,"Komisję skarg, wniosków i petycji",Komisję wyborczą,Komisję budżetu obywatelskiego,2,"Art. 18b ust. 1 przewiduje komisję skarg, wniosków i petycji."
Ilu wiceprzewodniczących może wybrać rada gminy?,Dokładnie 1,Od 2 do 5,Od 1 do 3,Nie może wybierać wiceprzewodniczących,3,Art. 19 ust. 1 przewiduje od 1 do 3 wiceprzewodniczących.
Jaką większością rada wybiera przewodniczącego i wiceprzewodniczących?,Zwykłą większością bez quorum,Większością 2/3,Jednomyślnie,Bezwzględną większością głosów w obecności co najmniej połowy ustawowego składu,4,Art. 19 ust. 1 określa bezwzględną większość przy wymaganym quorum.
Czy wybór przewodniczącego rady odbywa się w głosowaniu tajnym?,Tak,Nie,Tylko w mieście na prawach powiatu,Wyłącznie gdy zażąda tego 1/4 radnych,1,Art. 19 ust. 1 wymaga głosowania tajnego.
Co jest podstawowym zadaniem przewodniczącego rady gminy?,Wykonywanie budżetu gminy,Organizowanie pracy rady i prowadzenie jej obrad,Kierowanie urzędem gminy,Wydawanie decyzji administracyjnych w imieniu wójta,2,Art. 19 ust. 2 ogranicza zadanie przewodniczącego do organizowania pracy rady i prowadzenia obrad.
Jak często co najmniej powinna obradować rada gminy?,Raz w miesiącu,Raz na pół roku,Raz na kwartał,Raz w roku,3,Art. 20 ust. 1 wymaga zwoływania sesji nie rzadziej niż raz na kwartał.
Czy obrady rady gminy są transmitowane i utrwalane?,Nie,Tylko za zgodą wszystkich radnych,Wyłącznie w miastach na prawach powiatu,"Tak, za pomocą urządzeń rejestrujących obraz i dźwięk",4,Art. 20 ust. 1b nakazuje transmisję i utrwalanie obrad.
Kto zwołuje pierwszą sesję nowo wybranej rady gminy?,Komisarz wyborczy,Wójt,Wojewoda,Najstarszy radny,1,Art. 20 ust. 2 powierza zwołanie pierwszej sesji komisarzowi wyborczemu.
Kto prowadzi pierwszą sesję nowo wybranej rady do czasu wyboru przewodniczącego?,Wójt,Najstarszy wiekiem radny obecny na sesji,Komisarz wyborczy,Sekretarz gminy,2,Art. 20 ust. 2c przewiduje prowadzenie sesji przez najstarszego obecnego radnego.
Na czyj wniosek przewodniczący musi zwołać sesję rady w ciągu 7 dni?,Wyłącznie wojewody,Co najmniej połowy mieszkańców,Wójta lub co najmniej 1/4 ustawowego składu rady,Skarbnika gminy,3,Art. 20 ust. 3 wskazuje wójta lub co najmniej 1/4 ustawowego składu rady.
Ilu radnych co najmniej tworzy klub radnych?,2,5,10,3,4,"Art. 23 ust. 3 stanowi, że klub tworzy co najmniej 3 radnych."
Czy radny jest związany instrukcjami wyborców?,Nie,"Tak, zawsze",Tylko w sprawach budżetowych,Tylko instrukcjami pisemnymi,1,"Art. 23 ust. 1 stanowi, że radny nie jest związany instrukcjami wyborców."
Czy radny może kierować interpelacje i zapytania do wójta?,Nie,Tak,Tylko za pośrednictwem wojewody,Wyłącznie przewodniczący rady,2,Art. 24 ust. 3 przyznaje radnym prawo kierowania interpelacji i zapytań do wójta.
W jakim terminie wójt powinien odpowiedzieć na interpelację lub zapytanie radnego?,7 dni,30 dni,14 dni,2 miesiące,3,Art. 24 ust. 6 przewiduje pisemną odpowiedź w terminie do 14 dni.
"Czy treść interpelacji, zapytań i odpowiedzi publikuje się w BIP?",Nie,Tylko na wniosek radnego,Tylko jeśli dotyczą budżetu,Tak,4,Art. 24 ust. 7 przewiduje ich niezwłoczną publikację.
"Czy z radnym można nawiązać stosunek pracy w urzędzie gminy, w której uzyskał mandat?",Nie,"Tak, zawsze","Tak, za zgodą wójta","Tak, ale tylko na stanowisku urzędniczym",1,Art. 24a ust. 1 wprowadza taki zakaz.
Czy radny może być kierownikiem gminnej jednostki organizacyjnej tej gminy?,Tak,Nie,Tylko za zgodą rady,Tylko w jednostce kultury,2,Art. 24a ust. 2 zakazuje radnemu pełnienia funkcji kierownika lub jego zastępcy.
"W jakim terminie osoba wybrana na radnego, zatrudniona w urzędzie tej gminy, powinna złożyć wniosek o urlop bezpłatny?",14 dni,30 dni,7 dni od ogłoszenia wyników wyborów,3 miesiące,3,Art. 24b ust. 1 przewiduje termin 7 dni.
"Na jaki okres osoba wybrana na radnego otrzymuje urlop bezpłatny, gdy jest zatrudniona w urzędzie lub jednostce organizacyjnej tej samej gminy (art. 24b)?",Wyłącznie na okres mandatu,Na okres 1 roku,Na okres mandatu oraz 1 miesiąc,Na okres mandatu oraz 3 miesiące po jego wygaśnięciu,4,Art. 24b ust. 2 przewiduje urlop na okres mandatu i 3 miesiące po jego wygaśnięciu.
Czy wójt może powierzyć radnemu tej samej gminy pracę na podstawie umowy cywilnoprawnej?,Nie,Tak,Tylko za zgodą przewodniczącego rady,Tylko na okres do 3 miesięcy,1,Art. 24d wprowadza taki zakaz.
"Czy radny może prowadzić działalność gospodarczą z wykorzystaniem mienia komunalnego gminy, w której uzyskał mandat?","Tak, bez ograniczeń",Nie,"Tak, za zgodą wójta","Tak, jeśli nie zatrudnia pracowników",2,Art. 24f ust. 1 zakazuje takiej działalności.
"W jakim terminie radny powinien zaprzestać działalności gospodarczej z wykorzystaniem mienia komunalnego, jeśli prowadził ją przed objęciem mandatu?",7 dni,30 dni,W ciągu 3 miesięcy od złożenia ślubowania,6 miesięcy,3,Art. 24f ust. 1a przewiduje termin 3 miesięcy.
Jak duży pakiet udziałów lub akcji może maksymalnie posiadać radny w spółkach z udziałem gminnych osób prawnych objętych art. 24f ust. 5?,Nie większy niż 5%,Nie większy niż 25%,Nie ma limitu,Nie większy niż 10%,4,Art. 24f ust. 5 wprowadza limit 10%.
Kto składa oświadczenie majątkowe na podstawie art. 24h?,"M.in. radny, wójt, zastępca wójta, sekretarz, skarbnik i osoba wydająca decyzje w imieniu wójta",Wyłącznie wójt,Tylko radni,Wyłącznie skarbnik i sekretarz,1,Art. 24h ust. 1 obejmuje szeroki katalog osób pełniących funkcje w gminie.
Od jakiej wartości mienie ruchome podlega wykazaniu w oświadczeniu majątkowym?,Powyżej 1 000 zł,Powyżej 10 000 zł,Powyżej 5 000 zł,Powyżej 50 000 zł,2,Art. 24h ust. 1 pkt 3 wskazuje mienie ruchome o wartości powyżej 10 000 zł.
Od jakiej wartości zobowiązania pieniężne podlegają wykazaniu w oświadczeniu majątkowym?,Powyżej 1 000 zł,Powyżej 20 000 zł,Powyżej 10 000 zł,Powyżej 100 000 zł,3,Art. 24h ust. 1 pkt 4 wskazuje zobowiązania o wartości powyżej 10 000 zł.
