pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
W jakim terminie powinien być przeprowadzony nabór na wolne stanowisko sekretarza?,W ciągu 14 dni,W ciągu 30 dni,Nie później niż w ciągu 3 miesięcy od zwolnienia stanowiska,W ciągu 6 miesięcy,3,Art. 5 ust. 1a przewiduje termin nie dłuższy niż 3 miesiące.
Czy stanowisko sekretarza może być obsadzone przez powierzenie pełnienia obowiązków?,"Tak, do 3 miesięcy","Tak, do 6 miesięcy","Tak, bez ograniczenia czasowego",Nie,4,Art. 5 ust. 1b wyklucza obsadzenie stanowiska sekretarza przez powierzenie obowiązków.
Jaki minimalny staż pracy na stanowisku urzędniczym jest wymagany od kandydata na sekretarza?,Co najmniej 4 lata,Co najmniej 2 lata,Co najmniej 3 lata,Co najmniej 5 lat,1,Art. 5 ust. 2 wymaga co najmniej czteroletniego stażu pracy na stanowisku urzędniczym.
Jaki minimalny staż na kierowniczym stanowisku urzędniczym powinien mieć kandydat na sekretarza w ramach ustawowego wymogu?,Co najmniej 1 rok,Co najmniej 2 lata,Co najmniej 3 lata,Co najmniej 4 lata,2,Art. 5 ust. 2 wymaga co najmniej dwuletniego stażu na kierowniczym stanowisku urzędniczym.
Komu bezpośrednio podlega sekretarz?,Radzie gminy,Skarbnikowi,Kierownikowi urzędu,Wojewodzie,3,"Art. 5 ust. 3 stanowi, że sekretarz podlega bezpośrednio kierownikowi urzędu."
Czy kierownik urzędu może upoważnić sekretarza do wykonywania zadań w swoim imieniu?,Nie,Tylko w sprawach finansowych,Wyłącznie za zgodą rady gminy,Tak,4,"Art. 5 ust. 4 dopuszcza takie upoważnienie, m.in. w zakresie organizacji pracy i polityki kadrowej."
Czy sekretarz ma prawo tworzenia partii politycznych?,Nie,Tak,Tylko za zgodą kierownika urzędu,Tylko poza godzinami pracy,1,Art. 5 ust. 5 zakazuje sekretarzowi tworzenia partii politycznych.
Czy sekretarz może należeć do partii politycznej?,Tak,Nie,Tylko jeśli nie pełni funkcji w jej władzach,Tylko po uzyskaniu zgody rady gminy,2,Art. 5 ust. 5 zakazuje sekretarzowi również przynależności do partii politycznych.
Jakie ogólne wymaganie dotyczące zdolności do czynności prawnych musi spełniać pracownik samorządowy?,Może mieć ograniczoną zdolność,Nie ma żadnego wymogu,Musi mieć pełną zdolność do czynności prawnych,Musi być ubezwłasnowolniony częściowo,3,Art. 6 ust. 1 pkt 2 wymaga pełnej zdolności do czynności prawnych.
Jakie wymaganie dotyczące praw publicznych musi spełniać pracownik samorządowy?,Wystarczy częściowe korzystanie z praw publicznych,Nie ma takiego wymogu,Wymóg dotyczy tylko wójta,Musi korzystać z pełni praw publicznych,4,Art. 6 ust. 1 pkt 2 wymaga korzystania z pełni praw publicznych.
Czy pracownik samorządowy musi posiadać kwalifikacje zawodowe wymagane na danym stanowisku?,Tak,Nie,Tylko na stanowisku kierowniczym,Wyłącznie przy zatrudnieniu z wyboru,1,Art. 6 ust. 1 pkt 3 wprowadza taki wymóg.
Czy osoba zatrudniana na podstawie wyboru lub powołania może być prawomocnie skazana za umyślne przestępstwo ścigane z oskarżenia publicznego?,Tak,Nie,Tylko jeśli kara była grzywną,"Tak, po upływie roku od skazania",2,Art. 6 ust. 2 wyklucza takie skazanie.
Jakie minimalne wykształcenie jest wymagane od pracownika zatrudnionego na podstawie umowy o pracę na stanowisku urzędniczym?,Wyłącznie wyższe magisterskie,Podstawowe,Co najmniej średnie lub średnie branżowe,Nie ma wymogu wykształcenia,3,Art. 6 ust. 3 pkt 1 wymaga co najmniej wykształcenia średniego lub średniego branżowego.
Czy pracownik na stanowisku urzędniczym musi cieszyć się nieposzlakowaną opinią?,Nie,Tylko na stanowisku kierowniczym,Wyłącznie jeśli wydaje decyzje administracyjne,Tak,4,Art. 6 ust. 3 pkt 3 wprowadza wymóg nieposzlakowanej opinii.
Jakie minimalne wykształcenie jest wymagane na kierowniczym stanowisku urzędniczym?,Wyższe,Średnie,Podstawowe,Policealne,1,Art. 6 ust. 4 pkt 2 wymaga wykształcenia wyższego.
Jaki minimalny staż pracy jest co do zasady wymagany na kierowniczym stanowisku urzędniczym?,1 rok,Co najmniej 3 lata,2 lata,5 lat,2,Art. 6 ust. 4 pkt 1 wymaga co najmniej trzyletniego stażu lub odpowiedniej działalności gospodarczej.
Czy trzyletnia działalność gospodarcza może zastąpić wymagany staż na kierowniczym stanowisku urzędniczym?,Nie,"Tak, bez względu na charakter działalności","Tak, jeśli jej charakter jest zgodny z wymaganiami na danym stanowisku",Tylko gdy działalność trwała co najmniej 5 lat,3,Art. 6 ust. 4 pkt 1 dopuszcza co najmniej trzyletnią działalność o odpowiednim charakterze.
"Co powinien zrobić właściwy organ po uzyskaniu informacji o prawomocnym skazaniu za umyślne przestępstwo osoby objętej art. 6a, np. zastępcy wójta, skarbnika, sekretarza lub pracownika urzędniczego?",Udzielić wyłącznie nagany,Zawiesić bezterminowo,Nie podejmować czynności do końca kadencji,Odwołać go lub rozwiązać z nim umowę o pracę za wypowiedzeniem,4,Art. 6a nakazuje odwołanie lub rozwiązanie umowy za wypowiedzeniem.
"Najpóźniej po jakim czasie od uzyskania informacji o prawomocnym skazaniu za umyślne przestępstwo należy odwołać osobę objętą art. 6a lub wypowiedzieć jej umowę?",Po upływie miesiąca od uzyskania informacji,Po 7 dniach,Po 14 dniach,Po 3 miesiącach,1,Art. 6a wskazuje termin najpóźniej po upływie miesiąca od uzyskania informacji.
Kto wykonuje czynności z zakresu prawa pracy wobec sekretarza gminy?,Przewodniczący rady gminy,Wójt,Wojewoda,Skarbnik gminy,2,Art. 7 pkt 1 wskazuje wójta jako właściwego wobec sekretarza gminy.
Kto wykonuje czynności z zakresu prawa pracy wobec skarbnika gminy?,Przewodniczący rady gminy,Regionalna izba obrachunkowa,Wójt,Wojewoda,3,Art. 7 pkt 1 wskazuje wójta jako właściwego wobec skarbnika gminy.
Kto jest pracodawcą wójta?,Rada gminy,Wojewoda,Gmina jako osoba prawna bez wskazania urzędu,Urząd gminy,4,"Art. 8 ust. 1 stanowi, że pracodawcą wójta jest urząd gminy."
Kto wykonuje czynności związane z nawiązaniem i rozwiązaniem stosunku pracy wójta?,Przewodniczący rady gminy,Sekretarz gminy,Wojewoda,Skarbnik gminy,1,Art. 8 ust. 2 powierza te czynności przewodniczącemu rady gminy.
Kto ustala wynagrodzenie wójta?,Przewodniczący rady samodzielnie,Rada gminy w drodze uchwały,Sekretarz gminy,Wojewoda,2,Art. 8 ust. 2 zastrzega ustalanie wynagrodzenia wójta dla rady gminy.
Kto jest pracodawcą starosty?,Rada powiatu,Powiat,Starostwo powiatowe,Urząd wojewódzki,3,"Art. 9 ust. 1 stanowi, że pracodawcą starosty jest starostwo powiatowe."
Kto ustala wynagrodzenie starosty?,Zarząd powiatu,Wojewoda,Sekretarz powiatu,Rada powiatu w drodze uchwały,4,Art. 9 ust. 2 zastrzega tę kompetencję dla rady powiatu.
Kto jest pracodawcą marszałka województwa?,Urząd marszałkowski,Sejmik województwa,Wojewoda,Samorząd województwa bez wskazania urzędu,1,Art. 10 ust. 1 wskazuje urząd marszałkowski.
Kto ustala wynagrodzenie marszałka województwa?,Zarząd województwa,Sejmik województwa w drodze uchwały,Wojewoda,Minister właściwy do spraw administracji,2,Art. 10 ust. 2 powierza tę kompetencję sejmikowi województwa.
Jaki charakter ma nabór na wolne stanowisko urzędnicze?,Poufny i uznaniowy,Wyłącznie wewnętrzny,Otwarty i konkurencyjny,Losowy,3,"Art. 11 ust. 1 stanowi, że nabór jest otwarty i konkurencyjny."
Czy otwarty i konkurencyjny nabór dotyczy także kierowniczych stanowisk urzędniczych?,Nie,Tylko w urzędzie marszałkowskim,Wyłącznie za zgodą kierownika jednostki,Tak,4,Art. 11 ust. 1 obejmuje również kierownicze stanowiska urzędnicze.
Czy obywatel innego państwa może zostać zatrudniony na niektórych stanowiskach urzędniczych?,"Tak, w przypadkach wskazanych w art. 11","Nie, nigdy",Tylko jeśli posiada polskie obywatelstwo podwójne,Wyłącznie na stanowisku sekretarza,1,Art. 11 ust. 2–3 dopuszcza zatrudnienie określonych cudzoziemców na wskazanych stanowiskach.
Na jakim stanowisku może zostać zatrudniona osoba nieposiadająca obywatelstwa polskiego?,Na każdym stanowisku urzędniczym,"Na takim, na którym praca nie polega na udziale w wykonywaniu władzy publicznej ani ochronie generalnych interesów państwa",Wyłącznie na stanowisku wójta,Tylko na stanowisku skarbnika,2,Art. 11 ust. 3 ogranicza dostęp do stanowisk niewiążących się z wykonywaniem władzy publicznej.
Jak osoba nieposiadająca obywatelstwa polskiego powinna potwierdzić znajomość języka polskiego?,Wyłącznie świadectwem maturalnym,Oświadczeniem własnym,Dokumentem określonym w przepisach o służbie cywilnej,Referencjami od poprzedniego pracodawcy,3,Art. 11 ust. 3 wymaga dokumentu określonego w przepisach o służbie cywilnej.
Czy zatrudnienie osoby na zastępstwo za usprawiedliwioną nieobecność pracownika wymaga przeprowadzenia naboru?,"Tak, zawsze",Tylko jeśli zastępstwo trwa ponad miesiąc,Tylko na stanowisku pomocniczym,Nie,4,Art. 12 ust. 2 wyłącza obowiązek naboru przy zatrudnieniu na zastępstwo.
Gdzie publikuje się ogłoszenie o wolnym stanowisku urzędniczym?,W BIP oraz na tablicy informacyjnej jednostki prowadzącej nabór,Wyłącznie na stronie internetowej urzędu,Tylko w prasie lokalnej,Wyłącznie w urzędzie pracy,1,Art. 13 ust. 1 wymaga publikacji w BIP oraz na tablicy informacyjnej.
Czy ogłoszenie o naborze musi zawierać nazwę i adres jednostki?,Nie,Tak,Tylko adres e-mail,Wyłącznie nazwę stanowiska,2,Art. 13 ust. 2 pkt 1 wymienia nazwę i adres jednostki.
"Czy ogłoszenie o naborze musi wskazywać, które wymagania są niezbędne, a które dodatkowe?",Nie,Tylko na stanowisku kierowniczym,Tak,Wyłącznie w naborze do urzędu marszałkowskiego,3,Art. 13 ust. 2 pkt 3 wymaga takiego rozróżnienia.
Czym są wymagania niezbędne w ogłoszeniu o naborze?,Wymaganiami fakultatywnymi,Wymaganiami dotyczącymi wyłącznie doświadczenia,Wymaganiami ustalanymi po zakończeniu naboru,Wymaganiami koniecznymi do podjęcia pracy na danym stanowisku,4,Art. 13 ust. 2a pkt 1 definiuje wymagania niezbędne jako konieczne do podjęcia pracy.
Czym są wymagania dodatkowe?,Pozostałymi wymaganiami pozwalającymi na optymalne wykonywanie zadań,Wymaganiami koniecznymi do zatrudnienia,Wyłącznie wymaganiami językowymi,Wymaganiami dotyczącymi obywatelstwa,1,"Art. 13 ust. 2a pkt 2 wskazuje, że wymagania dodatkowe służą optymalnemu wykonywaniu zadań."
Czy ogłoszenie o naborze powinno zawierać informację o warunkach pracy na stanowisku?,Nie,Tak,Tylko przy pracy zmianowej,Wyłącznie na stanowisku kierowniczym,2,Art. 13 ust. 2 pkt 4a wymaga podania informacji o warunkach pracy.
Czy ogłoszenie o naborze powinno zawierać informację o wskaźniku zatrudnienia osób niepełnosprawnych?,Nie,Tylko gdy wskaźnik wynosi 0%,"Tak, w zakresie wskazanym w ustawie",Wyłącznie na żądanie kandydata,3,"Art. 13 ust. 2 pkt 4b wymaga informacji, czy wskaźnik wynosi co najmniej 6%."
Jaki jest minimalny termin składania dokumentów w naborze?,3 dni,7 dni,14 dni,10 dni od dnia opublikowania ogłoszenia w BIP,4,"Art. 13 ust. 3 stanowi, że termin nie może być krótszy niż 10 dni."
Czy informacje o kandydatach zgłoszonych do naboru są informacją publiczną?,"Tak, w zakresie objętym wymaganiami związanymi ze stanowiskiem",Nie,"Tak, w pełnym zakresie wszystkich danych osobowych",Tylko po zakończeniu naboru,1,Art. 13 ust. 4 uznaje je za informację publiczną w ograniczonym ustawowo zakresie.
Ilu najlepszych kandydatów może wyłonić komisja w toku naboru?,Nie więcej niż 3,Nie więcej niż 5,Dokładnie 5,Nie ma limitu,2,Art. 13a ust. 1 przewiduje nie więcej niż pięciu najlepszych kandydatów.
Kiedy osobie niepełnosprawnej przysługuje pierwszeństwo w zatrudnieniu na stanowisku urzędniczym?,Zawsze,Tylko gdy posiada najwyższe wykształcenie,Gdy wskaźnik zatrudnienia osób niepełnosprawnych jest niższy niż 6% i osoba ta znajduje się w gronie najlepszych kandydatów,Wyłącznie na stanowisku kierowniczym,3,Art. 13a ust. 2 określa te warunki pierwszeństwa.
Czy pierwszeństwo osoby niepełnosprawnej z art. 13a ust. 2 dotyczy kierowniczych stanowisk urzędniczych?,Tak,Tylko za zgodą komisji,Wyłącznie w urzędzie gminy,Nie,4,Art. 13a ust. 2 wyłącza kierownicze stanowiska urzędnicze.
Czy z przeprowadzonego naboru sporządza się protokół?,Tak,Nie,Tylko gdy nie wybrano kandydata,Wyłącznie na stanowisko kierownicze,1,Art. 14 ust. 1 nakazuje sporządzenie protokołu.
Czy protokół z naboru powinien zawierać informację o zastosowanych metodach i technikach naboru?,Nie,Tak,Tylko jeśli zastosowano test,Wyłącznie na żądanie kandydata,2,Art. 14 ust. 2 pkt 3 wymaga takiej informacji.
Czy protokół z naboru powinien zawierać uzasadnienie dokonanego wyboru?,Nie,Tylko w naborze na sekretarza,Tak,Wyłącznie w przypadku skargi kandydata,3,Art. 14 ust. 2 pkt 4 wymaga uzasadnienia dokonanego wyboru.
Jak długo co najmniej publikuje się informację o wyniku naboru?,Przez 7 dni,Przez 14 dni,Przez 1 miesiąc,Przez co najmniej 3 miesiące,4,Art. 15 ust. 1 przewiduje publikację przez co najmniej 3 miesiące.
Gdzie upowszechnia się informację o wyniku naboru?,Na tablicy informacyjnej jednostki i w BIP,Wyłącznie w BIP,Tylko w prasie lokalnej,Wyłącznie na stronie urzędu pracy,1,Art. 15 ust. 1 wymaga obu form upowszechnienia.
Czy informacja o wyniku naboru zawiera imię i nazwisko wybranego kandydata?,Nie,Tak,Tylko inicjały,Wyłącznie za zgodą kandydata,2,Art. 15 ust. 2 pkt 3 wymaga podania imienia i nazwiska wybranego kandydata.
"Czy informacja o wyniku naboru powinna zawierać uzasadnienie nierozstrzygnięcia naboru, jeśli nikogo nie wybrano?",Nie,Tylko na wniosek rady gminy,Tak,Wyłącznie po kontroli wojewody,3,Art. 15 ust. 2 pkt 4 przewiduje uzasadnienie wyboru albo nierozstrzygnięcia naboru.
W jakim okresie po zatrudnieniu wybranego kandydata można obsadzić to samo stanowisko inną osobą z grona najlepszych kandydatów bez nowego naboru?,W ciągu 14 dni,W ciągu 6 miesięcy,W ciągu roku,W ciągu 3 miesięcy,4,Art. 15 ust. 3 przewiduje okres 3 miesięcy.
Na jaki czas może zostać zawarta umowa o pracę z pracownikiem samorządowym?,Na czas określony lub nieokreślony,Wyłącznie na czas nieokreślony,Wyłącznie na czas określony,Tylko na okres kadencji,1,Art. 16 ust. 1 dopuszcza umowę na czas określony lub nieokreślony.
Na jaki maksymalny okres zawiera się pierwszą umowę z osobą podejmującą po raz pierwszy pracę na stanowisku urzędniczym?,Na 3 miesiące,Na czas określony nie dłuższy niż 6 miesięcy,Na 12 miesięcy,Od razu na czas nieokreślony,2,Art. 16 ust. 2 przewiduje umowę na czas określony do 6 miesięcy.
Kogo ustawa uważa za osobę podejmującą po raz pierwszy pracę na stanowisku urzędniczym?,Każdą osobę zmieniającą urząd,Wyłącznie absolwenta szkoły,"Osobę, która nie była wcześniej zatrudniona w jednostkach z art. 2 na czas nieokreślony lub dłużej niż 6 miesięcy i nie zdała egzaminu po służbie przygotowawczej",Osobę z mniej niż 5-letnim stażem,3,Art. 16 ust. 3 definiuje pierwsze zatrudnienie przez wcześniejszy brak określonego zatrudnienia i służby przygotowawczej.
Kto składa ślubowanie przed przystąpieniem do wykonywania obowiązków służbowych?,Wyłącznie wójt,Tylko pracownik pomocniczy,Każdy pracownik bez względu na stanowisko,"Pracownik zatrudniony na stanowisku urzędniczym, w tym kierowniczym",4,Art. 18 ust. 1 obejmuje pracowników na stanowiskach urzędniczych.
W czyjej obecności składa się ślubowanie pracownika urzędniczego?,Kierownika jednostki lub sekretarza,Wyłącznie przewodniczącego rady,Wojewody,Komisji rekrutacyjnej,1,Art. 18 ust. 1 przewiduje obecność kierownika jednostki lub sekretarza.
Jaki skutek ma odmowa złożenia ślubowania?,Upomnienie,Wygaśnięcie stosunku pracy,Naganna ocena okresowa,Zawieszenie na 3 miesiące,2,"Art. 18 ust. 2 stanowi, że odmowa powoduje wygaśnięcie stosunku pracy."
Dla kogo co do zasady organizuje się służbę przygotowawczą?,Dla każdego pracownika samorządowego,Wyłącznie dla sekretarza,Dla osoby podejmującej po raz pierwszy pracę na stanowisku urzędniczym,Tylko dla pracownika pomocniczego,3,Art. 19 ust. 1 wiąże służbę przygotowawczą z pierwszym zatrudnieniem z art. 16 ust. 2.
Kto podejmuje decyzję o skierowaniu do służby przygotowawczej i jej zakresie?,Komisja rekrutacyjna,Wojewoda,Rada gminy,Kierownik jednostki,4,Art. 19 ust. 2 powierza decyzję kierownikowi jednostki.
Jaki jest cel służby przygotowawczej?,Teoretyczne i praktyczne przygotowanie do należytego wykonywania obowiązków służbowych,Wyłącznie sprawdzenie wiedzy z KPA,Ocena przydatności do pracy fizycznej,Przygotowanie do wyborów samorządowych,1,Art. 19 ust. 3 określa taki cel.
Jak długo może trwać służba przygotowawcza?,Nie dłużej niż miesiąc,Nie dłużej niż 3 miesiące,Dokładnie 6 miesięcy,Nie dłużej niż rok,2,Art. 19 ust. 4 ogranicza jej czas do 3 miesięcy.
Czym kończy się służba przygotowawcza?,Wyłącznie oceną przełożonego,Rozmową z wojewodą,Egzaminem,Automatycznym awansem,3,"Art. 19 ust. 4 stanowi, że służba przygotowawcza kończy się egzaminem."
Czy kierownik jednostki może zwolnić pracownika z obowiązku odbywania służby przygotowawczej?,Nie,"Tak, bez żadnego uzasadnienia",Wyłącznie na wniosek pracownika,"Tak, na umotywowany wniosek osoby kierującej komórką organizacyjną",4,Art. 19 ust. 5 dopuszcza zwolnienie przy spełnieniu wskazanych warunków.
Czy zwolnienie ze służby przygotowawczej zwalnia z obowiązku uzyskania pozytywnego wyniku egzaminu?,Nie,Tak,Tylko pracownika z wyższym wykształceniem,Tylko pracownika z 5-letnim stażem,1,"Art. 19 ust. 7 stanowi, że zwolnienie ze służby nie wyłącza wymogu pozytywnego egzaminu."
Jaki warunek jest konieczny do dalszego zatrudnienia pracownika odbywającego służbę przygotowawczą lub z niej zwolnionego (art. 19)?,Uzyskanie rekomendacji wojewody,Pozytywny wynik egzaminu,Ukończenie studiów podyplomowych,Członkostwo w korpusie służby cywilnej,2,Art. 19 ust. 6 uzależnia dalsze zatrudnienie od pozytywnego wyniku egzaminu.
Kto określa szczegółowy sposób przeprowadzania służby przygotowawczej?,Rada Ministrów,Wojewoda,Kierownik jednostki w drodze zarządzenia,Rada gminy,3,Art. 19 ust. 8 powierza to kierownikowi jednostki.
Kiedy pracownik składa ślubowanie po pozytywnym egzaminie kończącym służbę przygotowawczą?,Przed egzaminem,Po roku pracy,Dopiero przy awansie,Przed zawarciem nowej umowy o pracę,4,"Art. 19 ust. 9 przewiduje ślubowanie po egzaminie, przed nową umową."
Czym jest awans wewnętrzny?,Przeniesieniem pracownika na wyższe stanowisko,Zmianą miejsca pracy bez zmiany stanowiska,Nagrodą pieniężną,Powołaniem na stanowisko sekretarza,1,Art. 20 ust. 1 określa awans wewnętrzny jako przeniesienie na wyższe stanowisko.
Kiedy pracownik może otrzymać awans wewnętrzny?,Automatycznie po 2 latach,Gdy wykazuje inicjatywę i sumiennie wykonuje obowiązki,Wyłącznie po zdaniu egzaminu państwowego,Tylko po zmianie kierownika jednostki,2,Art. 20 ust. 1 wskazuje inicjatywę i sumienne wykonywanie obowiązków.
Czy awans wewnętrzny może nastąpić między dowolnymi grupami stanowisk?,Tak,Tylko ze stanowiska pomocniczego na kierownicze,"Nie, tylko w ramach tej samej grupy stanowisk wskazanej w art. 4 ust. 2 pkt 1 lub 3",Wyłącznie ze stanowiska urzędniczego na stanowisko z wyboru,3,Art. 20 ust. 2 ogranicza awans do tej samej grupy stanowisk.
"Na jak długo w roku kalendarzowym można powierzyć pracownikowi inną pracę niż określona w umowie, gdy wymagają tego potrzeby jednostki?",Do miesiąca,Do 6 miesięcy,Do 12 miesięcy,Do 3 miesięcy,4,Art. 21 przewiduje okres do 3 miesięcy w roku kalendarzowym.
Jakie musi być wynagrodzenie przy czasowym powierzeniu innej pracy z art. 21?,"Stosowne do wykonywanej pracy, lecz nie niższe od dotychczasowego",Zawsze o 20% wyższe,Może być dowolnie niższe,Nie przysługuje wynagrodzenie dodatkowe,1,Art. 21 chroni pracownika przed obniżeniem wynagrodzenia.
Czy pracownika urzędniczego można przenieść do innej jednostki samorządowej na jego wniosek lub za jego zgodą?,Nie,"Tak, przy spełnieniu ustawowych warunków",Tylko na okres do 3 miesięcy,Wyłącznie za zgodą wojewody,2,Art. 22 ust. 1 dopuszcza takie przeniesienie.
W jaki sposób dokonuje się przeniesienia pracownika między jednostkami z art. 22?,W drodze decyzji wojewody,Na podstawie uchwały rady,W drodze porozumienia pracodawców,Jednostronnym poleceniem dotychczasowego pracodawcy,3,Art. 22 ust. 2 przewiduje porozumienie pracodawców.
Co dzieje się z aktami osobowymi przy przeniesieniu pracownika do innej jednostki?,Pozostają na stałe u poprzedniego pracodawcy,Są przekazywane wojewodzie,Są niszczone po roku,"Są przekazywane do jednostki, w której pracownik ma być zatrudniony",4,Art. 22 ust. 3 nakazuje przekazanie akt wraz z dokumentacją.
Kiedy w razie reorganizacji można przenieść pracownika na inne stanowisko?,Gdy jego dotychczasowe stanowisko zostało zlikwidowane i dalsze zatrudnienie na nim nie jest możliwe,Zawsze bez powodu,Wyłącznie na wniosek pracownika,Tylko po przeprowadzeniu nowego naboru,1,Art. 23 ust. 1 przewiduje przeniesienie w związku z likwidacją stanowiska.
Jak długo pracownik przeniesiony z powodu reorganizacji zachowuje wyższe dotychczasowe wynagrodzenie?,Przez 3 miesiące,Przez 6 miesięcy następujących po miesiącu przeniesienia,Przez 12 miesięcy,Bezterminowo,2,Art. 23 ust. 2 przewiduje ochronę wynagrodzenia przez 6 miesięcy.
Jaki jest podstawowy obowiązek pracownika samorządowego wskazany w art. 24 ust. 1?,Wyłącznie ochrona interesu urzędu,Wyłącznie wykonywanie poleceń wójta,Dbałość o wykonywanie zadań publicznych i o środki publiczne z uwzględnieniem interesu publicznego i indywidualnych interesów obywateli,Dążenie do maksymalizacji dochodów gminy,3,Art. 24 ust. 1 formułuje ten podstawowy obowiązek.
Czy pracownik samorządowy ma obowiązek przestrzegania Konstytucji i innych przepisów prawa?,Nie,Tylko pracownik na stanowisku kierowniczym,Wyłącznie osoba wydająca decyzje,Tak,4,Art. 24 ust. 2 pkt 1 wymienia ten obowiązek.
Jak pracownik samorządowy powinien wykonywać zadania?,"Sumiennie, sprawnie i bezstronnie",Wyłącznie szybko,Według własnego uznania,Tylko zgodnie z interesem przełożonego,1,"Art. 24 ust. 2 pkt 2 wskazuje sumienność, sprawność i bezstronność."
"Czy pracownik ma obowiązek udzielania informacji i udostępniania dokumentów, jeśli prawo tego nie zabrania?",Nie,Tak,Tylko radnym,Wyłącznie na polecenie wojewody,2,Art. 24 ust. 2 pkt 3 przewiduje taki obowiązek.
Czy pracownik samorządowy ma obowiązek dochowania tajemnicy ustawowo chronionej?,Nie,Wyłącznie podczas zatrudnienia na stanowisku kierowniczym,Tak,Tylko w sprawach podatkowych,3,Art. 24 ust. 2 pkt 4 wskazuje obowiązek dochowania tajemnicy.
Jak powinien zachowywać się pracownik w kontaktach z obywatelami i współpracownikami?,Wyłącznie formalnie,W sposób dowolny,Zawsze wyłącznie pisemnie,Uprzejmie i życzliwie,4,Art. 24 ust. 2 pkt 5 wymaga uprzejmości i życzliwości.
